service_id,date,exception_type
5010-Thu,20151203,1
5010-Wed,20151202,1
5010-Tue,20151201,1
5009-Mon,20151130,1
5008-Sun,20151129,1
5008-Sat,20151128,1
5007-Fri,20151127,1
4987-Thu,20151126,1
4987-Wed,20151125,1
4986-Tue,20151124,1
4981-Mon,20151123,1
4981-Sun,20151122,1
4981-Sat,20151121,1
4981-Fri,20151120,1
4941-Thu,20151119,1
4941-Wed,20151118,1
4941-Tue,20151117,1
4941-Mon,20151116,1
4966-Sun,20151115,1
4969-Sat,20151114,1
4896-Fri,20151113,1
4896-Thu,20151112,1
4896-Wed,20151111,1
4896-Tue,20151110,1
4895-Mon,20151109,1
4892-Sun,20151108,1
4889-Sat,20151107,1
4894-Fri,20151106,1
4885-Thu,20151105,1
4854-Wed,20151104,1
4854-Tue,20151103,1
4854-Mon,20151102,1
4854-Sun,20151101,1
4853-Sat,20151031,1
4799-Fri,20151030,1
4799-Thu,20151029,1
4799-Wed,20151028,1
4799-Tue,20151027,1
4842-Mon,20151026,1
4840-Sun,20151025,1
4840-Sat,20151024,1
4841-Fri,20151023,1
4821-Thu,20151022,1
4821-Wed,20151021,1
4821-Tue,20151020,1
4821-Mon,20151019,1
4820-Sun,20151018,1
4819-Sat,20151017,1
4797-Fri,20151016,1
4797-Thu,20151015,1
4797-Wed,20151014,1
4797-Tue,20151013,1
4765-Sun,20151012,1
4766-Sun,20151011,1
4766-Sat,20151010,1
4766-Fri,20151009,1
4718-Thu,20151008,1
4718-Wed,20151007,1
4718-Tue,20151006,1
4718-Mon,20151005,1
4739-Sun,20151004,1
4740-Sat,20151003,1
4737-Fri,20151002,1
4714-Thu,20151001,1
4714-Wed,20150930,1
4714-Tue,20150929,1
4714-Mon,20150928,1
4713-Sun,20150927,1
4713-Sat,20150926,1
4709-Fri,20150925,1
4709-Thu,20150924,1
4709-Wed,20150923,1
4709-Tue,20150922,1
4706-Mon,20150921,1
4705-Sun,20150920,1
4705-Sat,20150919,1
4686-Fri,20150918,1
4682-Thu,20150917,1
4682-Wed,20150916,1
4682-Tue,20150915,1
4680-Mon,20150914,1
4660-Sun,20150913,1
4660-Sat,20150912,1
4658-Fri,20150911,1
4658-Thu,20150910,1
4654-Wed,20150909,1
4654-Tue,20150908,1
4654-Sun,20150907,1
4654-Sun,20150906,1
4654-Sat,20150905,1
4991-Sun,20160101,1
4991-Thu,20151231,1
4984-Wed,20151230,1
4984-Tue,20151229,1
5005-Sat,20151228,1
5005-Sun,20151227,1
5005-Sat,20151226,1
5005-Sun,20151225,1
