service_id,date,exception_type
5033-Fri,20160401,1
5033-Thu,20160331,1
5033-Wed,20160330,1
5033-Tue,20160329,1
5033-Mon,20160328,1
5038-Sun,20160327,1
5036-Sat,20160326,1
5039-Sun,20160325,1
5035-Thu,20160324,1
5033-Wed,20160323,1
5033-Tue,20160322,1
5033-Mon,20160321,1
5038-Sun,20160320,1
5036-Sat,20160319,1
5033-Fri,20160318,1
5033-Thu,20160317,1
5033-Wed,20160316,1
5033-Tue,20160315,1
5033-Mon,20160314,1
5038-Sun,20160313,1
5036-Sat,20160312,1
5033-Fri,20160311,1
5033-Thu,20160310,1
5033-Wed,20160309,1
5033-Tue,20160308,1
5033-Mon,20160307,1
5038-Sun,20160306,1
5036-Sat,20160305,1
5033-Fri,20160304,1
5033-Thu,20160303,1
5033-Wed,20160302,1
5033-Tue,20160301,1
5033-Mon,20160229,1
5038-Sun,20160228,1
5036-Sat,20160227,1
5033-Fri,20160226,1
5033-Thu,20160225,1
5033-Wed,20160224,1
5033-Tue,20160223,1
5033-Mon,20160222,1
5038-Sun,20160221,1
5036-Sat,20160220,1
5033-Fri,20160219,1
5033-Thu,20160218,1
5033-Wed,20160217,1
5033-Tue,20160216,1
5037-Sat,20160215,1
5038-Sun,20160214,1
5036-Sat,20160213,1
5033-Fri,20160212,1
5033-Thu,20160211,1
5033-Wed,20160210,1
5033-Tue,20160209,1
5033-Mon,20160208,1
5038-Sun,20160207,1
5036-Sat,20160206,1
5033-Fri,20160205,1
5033-Thu,20160204,1
5033-Wed,20160203,1
5033-Tue,20160202,1
5033-Mon,20160201,1
5038-Sun,20160131,1
5036-Sat,20160130,1
5033-Fri,20160129,1
5033-Thu,20160128,1
5033-Wed,20160127,1
5033-Tue,20160126,1
5033-Mon,20160125,1
5038-Sun,20160124,1
5036-Sat,20160123,1
5033-Fri,20160122,1
5033-Thu,20160121,1
5033-Wed,20160120,1
5033-Tue,20160119,1
5033-Mon,20160118,1
5038-Sun,20160117,1
5036-Sat,20160116,1
5033-Fri,20160115,1
5033-Thu,20160114,1
5033-Wed,20160113,1
5033-Tue,20160112,1
5034-Mon,20160111,1
